security,n,pnl,fee,win,win_rate
159852.XSHE,14,4297704.6,25616.83,8,0.5714285714285714
501018.XSHG,26,3692591.34,23775.589999999997,20,0.7692307692307693
518880.XSHG,31,3253939.1,59114.70000000001,14,0.45161290322580644
159915.XSHE,24,2902100.9,28550.879999999997,12,0.5
513520.XSHG,20,2867407.3,29171.07,10,0.5
513030.XSHG,17,2075481.9000000001,24053.85,14,0.8235294117647058
516160.XSHG,15,2067752.3,26302.82,7,0.4666666666666667
513100.XSHG,29,1493062.5,47088.770000000004,17,0.5862068965517241
513500.XSHG,19,1428477.1,23242.96,11,0.5789473684210527
159920.XSHE,11,1146618.7,17967.95,8,0.7272727272727273
159995.XSHE,22,1006349.3,30192.14,9,0.4090909090909091
159806.XSHE,16,848112.0999999999,13361.95,11,0.6875
513050.XSHG,21,526006.3999999999,36868.05,9,0.42857142857142855
515030.XSHG,9,371648.60000000003,16069.37,7,0.7777777777777778
510300.XSHG,5,297923.19999999995,13653.079999999998,4,0.8
159985.XSHE,28,48870.29999999993,35498.979999999996,12,0.42857142857142855
159845.XSHE,13,20337.400000000023,14977.439999999999,6,0.46153846153846156
511880.XSHG,17,16510.2,0.0,15,0.8823529411764706
588080.XSHG,12,-1006.2000000000116,11732.53,4,0.3333333333333333
159928.XSHE,18,-22744.700000000084,18540.97,8,0.4444444444444444
511010.XSHG,16,-26058.499999999996,18924.000000000004,6,0.375
510210.XSHG,7,-243831.09999999998,8080.1,1,0.14285714285714285
510050.XSHG,3,-327701.9,3100.65,1,0.3333333333333333
159980.XSHE,15,-352282.10000000003,12762.18,7,0.4666666666666667
510500.XSHG,5,-368392.80000000005,9230.810000000001,2,0.4
513080.XSHG,24,-1729759.69,10700.699999999997,9,0.375
